Test,Bubble Sort,Selection Sort,Insertion Sort,Bucket Sort,Merge Sort
40,6.42954683303833,2.811282157897949,2.815140962600708,0.005258798599243164,0.026082515716552734
41,6.425203561782837,2.7633731365203857,2.7220876216888428,0.005161285400390625,0.024694442749023438
42,6.415123701095581,2.775692939758301,2.74123215675354,0.005310535430908203,0.025365114212036133
43,6.355478048324585,2.86531925201416,2.840435028076172,0.007111787796020508,0.0251312255859375
44,6.42681360244751,2.784616470336914,2.7887320518493652,0.005261659622192383,0.02566695213317871
45,6.340224742889404,2.842438220977783,2.691474199295044,0.0052280426025390625,0.024584293365478516
46,6.513782262802124,2.8048512935638428,2.7696750164031982,0.013775110244750977,0.026969432830810547
47,6.6420207023620605,2.732755422592163,2.6147592067718506,0.005255460739135742,0.024863719940185547
48,6.46880030632019,2.8898534774780273,2.7159440517425537,0.005216360092163086,0.02501225471496582
49,6.39827823638916,2.911994457244873,2.701615571975708,0.006800174713134766,0.028941869735717773
50,6.368034601211548,2.838240146636963,2.713937759399414,0.005072832107543945,0.02466559410095215
51,6.313449144363403,2.8600480556488037,2.6317384243011475,0.005293846130371094,0.02531123161315918
52,6.376892566680908,2.884227991104126,2.728726863861084,0.00531315803527832,0.024873733520507812
53,6.479511976242065,2.7986021041870117,2.753913402557373,0.005277395248413086,0.025884151458740234
54,6.495757579803467,2.7900328636169434,2.8525302410125732,0.005246162414550781,0.02549266815185547
55,6.678018808364868,3.039029359817505,2.7900784015655518,0.005202054977416992,0.025127172470092773
56,6.489322900772095,2.8417000770568848,2.787083864212036,0.013792753219604492,0.025559425354003906
57,6.580082178115845,2.7151365280151367,2.772665023803711,0.005280256271362305,0.025272130966186523
58,6.439309120178223,2.7717607021331787,2.7566990852355957,0.005277395248413086,0.02503204345703125
59,6.488190650939941,2.792539358139038,2.8324472904205322,0.005214214324951172,0.02567601203918457
60,6.590886831283569,2.975827217102051,2.755495548248291,0.005218029022216797,0.024885177612304688
61,6.403395652770996,2.8635365962982178,2.8321239948272705,0.005070924758911133,0.03101062774658203
62,6.491609811782837,2.6765034198760986,2.7952260971069336,0.005034923553466797,0.02514934539794922
63,6.27777361869812,2.742234468460083,2.6888935565948486,0.004976987838745117,0.02401113510131836
64,6.25141716003418,2.715724468231201,2.7373836040496826,0.005934715270996094,0.03701186180114746
65,6.468361139297485,2.762394666671753,2.7767441272735596,0.013963460922241211,0.027498245239257812
66,6.31713604927063,2.9138197898864746,2.7199530601501465,0.004865407943725586,0.02417731285095215
67,6.504000425338745,2.9332516193389893,2.8192763328552246,0.007314443588256836,0.0360715389251709
68,6.378252744674683,2.90242075920105,2.7773549556732178,0.004870891571044922,0.02528548240661621
69,6.579474925994873,2.827866554260254,2.691725254058838,0.007143974304199219,0.031421661376953125
70,6.407132148742676,2.826688528060913,2.810715675354004,0.0053043365478515625,0.03380179405212402
71,6.419109106063843,2.796572208404541,2.6541635990142822,0.004849910736083984,0.02384209632873535
72,6.412416934967041,2.8264029026031494,2.8236184120178223,0.0049932003021240234,0.0241391658782959
73,6.42058801651001,2.84004282951355,2.719637632369995,0.004954099655151367,0.025281190872192383
74,6.400296688079834,2.92041015625,2.7597246170043945,0.005202293395996094,0.025385379791259766
75,6.620230436325073,2.7473502159118652,2.71836256980896,0.013301849365234375,0.025925636291503906
76,6.285468578338623,2.811964750289917,2.7436933517456055,0.005341529846191406,0.025246381759643555
77,6.338494777679443,2.736088514328003,2.7250173091888428,0.005180835723876953,0.023596525192260742
78,6.344297885894775,2.884323835372925,2.7899599075317383,0.005191326141357422,0.024858474731445312
79,6.2928009033203125,2.7959001064300537,2.7149806022644043,0.00574493408203125,0.024880409240722656
